Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
650ML Container,Container Moudle 650ML,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Pallet Wraps,Hand Pallet Wraps,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCP684951,Purex toilet roll wht 9pk,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
MISC,MISC CHARGE / REFUND,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,,0,0,21,1,GST,,0,,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WAWC80025,Ma,,,,,,,,,,,NIL,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,,,
Container Moudle 650ML,650ML Container,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Lid Moudle 650ML,650ML Lid,B,S,I,11600,41085,51095,,,,,NIL,,,,,,FRE,,1,0,0,97,1,GST,,0,1,0,0,0,0,0,97,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Hand Pallet Wraps,Pallet Wraps,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Purex toilet roll wht 9pk,WCP684951,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
MISC CHARGE / REFUND,MISC,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
W700-O,Plastic Container W700,B,S,I,11410,41012,51012,"A13, A14",,,,NIL,,,,,,FRE,,1,0,150,46.14,,GST,,0,1,0,0,0,0,0,46.14,49,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,26.36,,
A500-O,Plastic Container A500,B,S,I,11415,41013,51013,C11,,,,NIL,,,,,,FRE,Box,1,0,50,29.49,Box,GST,,0,1,0,0,0,0,0,29.49,37,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,18.46,,
A650-O,Plastic Container A650,B,S,I,11415,41013,51013,C12,,,,NIL,,,,,A650,FRE,,1,100,50,35.02,,GST,,0,1,0,0,0,0,0,35.02,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,21.22,,
A750-O,Plastic Container A750,B,S,I,11415,41013,51013,C14,,,,NIL,,,,,,FRE,,1,0,50,38.44,,GST,,0,1,0,0,0,0,0,38.44,43,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,25.96,,
A1000-O,Plastic Container A1000,B,S,I,11415,41013,51013,C16,,,,NIL,,,,,,FRE,,1,0,50,42.32,,GST,,0,1,0,0,0,0,0,42.32,48,57,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
A Lid-O,Plastic A Lid,B,S,I,11415,41013,51013,B13,,,,NIL,,,,,,FRE,,1,0,150,20.6,,GST,,0,1,0,0,0,0,0,20.6,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,13.91,,
Round16-O,Plastic Round Container 16,B,S,I,11410,41012,51012,F3,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,25.05,,GST,,0,1,0,0,0,0,0,25.05,35,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,16.92,,
Round Lid-O,Plastic Round Lid,B,S,I,11410,41012,51012,G6,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,14.07,,GST,,0,1,0,0,0,0,0,14.07,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,10.43,,
W950-O,Plastic Container W950,B,S,I,11410,41012,51012,"A17, B17",,,,NIL,,,,,,FRE,,1,0,150,47.02,,GST,,0,1,0,0,0,0,0,47.02,52,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,31.75,,
W1000-O,Plastic Container W1000,B,S,I,11410,41012,51012,A19,,,,NIL,,,,,,FRE,,1,0,150,53.19,,GST,,0,1,0,0,0,0,0,53.19,56,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,36.62,,
W Lid-O,Plastic Lid W,B,S,I,11410,41012,51012,A5,,,,NIL,,,,,,FRE,,1,0,350,27.81,,GST,,0,1,0,0,0,0,0,27.81,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,18.77,,
Round10-O,Plastic Round Container 10,B,S,I,11410,41012,51012,"F1, F2",,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,25.32,,GST,,0,1,0,0,0,0,0,25.32,32,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,14.09,,
Round20-O,Plastic Round Container 20,B,S,I,11410,41012,51012,F5,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,30.9,,GST,,0,1,0,0,0,0,0,30.9,41,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,20.86,,
Round25-O,Plastic Round Container 25,B,S,I,11410,41012,51012,G5,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,37.07,,GST,,0,1,0,0,0,0,0,37.07,46,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,25.03,,
W650-O,Plastic Container W650,B,S,I,11410,41012,51012,"A11, A12",,,,NIL,,,,,,FRE,,1,0,150,42.37,,GST,,0,1,0,0,0,0,0,42.37,43,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,23.72,,
WFPCPC0803,Plastic Spork 4 x 1000,B,S,I,11591,41071,51081,D5,,,,NIL,,,,FPA,CPC0803,GST,,1,2,1,89.74,,GST,,0,1,0,0,0,0,0,89.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,46.5,,
WFPCPC0800,White Plastic Knife,B,S,I,11591,41071,51081,D5,,,,NIL,,,,,CPC0800,GST,1,1,0,0,89.74,,GST,,0,1,0,0,0,0,0,89.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,46.5,,
WWL30500,Lunch 1ply 1/4 wht Npk 3000CTN,B,S,I,11505,41021,51021,PPS Lunch 1ply 30cm x 30cm White QTR fold Napkin,X,Napkin,Luncheon Napkin,NIL,CTN,500/SLV x 6,A10-1,Zhiyuan,WWL30500,FRE,CTN,1,0,0,35.5,CTN,GST,,0,1,0,0,0,0,0,35.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,27.31,,
LN0073,FP.C-NL0100..1ply 30x30 Wht1/4,B,S,I,11591,41071,51081,Lunch 1ply 30cm x 30cm White QTR fold Napkin,X,Napkin,Luncheon Napkin,NIL,CTN,500/SLV x 6,,,C-NL0100,GST,,1,0,0,27.05,,GST,,0,1,0,0,0,0,0,27.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,20.01,,
PPB0159,FP.Brown paper bag 380x270,B,S,I,11591,41071,51081,Brown paper bag fruit 2kg 380 x 270 mm,X,Bags,Standard Paper Bags,NIL,REAM,500/REAM,380 X 270 mm,FPA,FPA0060,GST,REAM,1,0,0,54.34,REAM,GST,,0,1,0,0,0,0,0,54.34,52.25,52.25,52.25,52.25,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,40.19,,
WWLW32100,Lunch 2ply 32*32 Wht 1/4 Napk,B,S,I,11505,41021,51021,PPS Lunch 2ply 32 x 32cm White QTR fold Napk,X,Napkin,Luncheon Napkin,NIL,CTN,100/SLV x 20,,Zhiyuan,WWLW32100,FRE,CTN,1,0,0,54.3,CTN,GST,,0,1,0,0,0,0,0,54.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,41.77,,
WWLW32100P,Lunch 2ply 32*32 Wht P Napk,B,S,I,11505,41021,51021,E8A,,,,NIL,,,,Zhiyuan,,FRE,,1,0,0,34,,GST,,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWDW40125,Dinner 2ply Wht 1/4fold Napkin,B,S,I,11505,41021,51021,E19,,,,NIL,,,,,,FRE,,1,0,0,28,,GST,,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWQDW40100,Quilted Dinner 2ply Wht 1/4,B,S,I,11505,41021,51021,E20,,,,NIL,CTN,100SLV x 10,,Zhiyuan,,FRE,,1,0,0,27.21,,GST,,0,1,0,0,0,0,0,27.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWQDW40100GT,Quilted Dinner 2ply Wht GT,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply White GT Fold,X,Napkin,Dinner Napkin,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDW40100GT,FRE,CTN,1,0,0,44.3,CTN,GST,,0,1,0,0,0,0,0,44.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,34.08,,
WWQDR40100GT,Quilted Dinner 2ply Red GT,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply Red GT Fold 40 x 40cm,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDR40100GT,FRE,CTN,1,0,0,88.16,CTN,GST,,0,1,0,0,0,0,0,88.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,67.81,,
*WWDR40100*,*Dinner 2ply Red 1/4 Napkin*,B,S,I,11505,41021,51021,*Dinner 2ply Red 1/4 Napkin* - 1000/CTN\r\n,X,Napkin,Dinner Napkin Colour,NIL,CTN,SLV100 X 10,,Zhiyuan,WWDR40100,FRE,CTN,1,0,0,36.09,CTN,GST,,0,1,0,0,0,0,0,36.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWDR40100M,Dinner 2ply Red M Napkin,B,S,I,11505,41021,51021,Dinner 2ply Red M Fold Napkin,,Napkin,Dinner Napkin Colour,NIL,,100/SLV x 10,,Zhiyuan,WWDR40100M,FRE,,1,0,0,79.63,,GST,,0,1,0,0,0,0,0,79.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,61.25,,
*WWDB40100*,*Dinner 2ply Burgd 1/4  Napki*,B,S,I,11505,41021,51021,*Dinner 2ply Burgd 1/4  Napki*  - 1000/CTN\r\n,X,,,NIL,CTN,SLV100 X 10,,Zhiyuan,WWDB40100,FRE,CTN,1,0,50,36.09,CTN,GST,,0,1,0,0,0,0,0,36.09,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWDB40100M,Dinner 2ply Burgundy M Napkin,B,S,I,11505,41021,51021,Dinner 2ply Burgundy M Napkin,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWDB40100M,FRE,CTN,1,0,0,79.63,CTN,GST,,0,1,0,0,0,0,0,79.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,61.25,,
WWQDR40100,Quilted Dinner 2ply Red 1/4,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply Red QTR fold 40 x 40cm,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDR40100,FRE,CTN,1,0,0,88.14,CTN,GST,,0,1,0,0,0,0,0,88.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,67.8,,
WWQDP40100GT,Quilted Dinne 2ply Pink GT,B,S,I,11505,41021,51021,PPS Quilted Dinne 2ply Pink GT Fold 40 x 40cm,,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDP40100GT,FRE,CTN,1,0,0,69.14,CTN,GST,,0,1,0,0,0,0,0,69.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,53.19,,
WWQDG40100,Quilted Dinner 2ply Green 1/4,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply Green QTR fold 40 x 40cm,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDG40100,FRE,CTN,1,0,0,90.24,CTN,GST,,0,1,0,0,0,0,0,90.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,69.42,,
*WWQDB40100GT*,*Quilted Dinner2ply Burgd GT*,B,S,I,11505,41021,51021,W *Quilted Dinner2ply Burgd GT* - 1000/CTN\r\n,X,,,NIL,CTN,PKT100 X 10,,Zhiyuan,WWQDB40100GT,FRE,CTN,1,0,0,56.88,CTN,GST,,0,1,0,0,0,0,0,56.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWQDB40100,Quilted Dinner 2ply Burgd 1/4,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply Burgundy QTR fold 40 x 40cm,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDB40100,FRE,CTN,1,0,0,88.14,CTN,GST,,0,1,0,0,0,0,0,88.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,67.8,,
*WWQDY40100GT,*Quilted Dinner2ply Yellow GT*,B,S,I,11505,41021,51021,W *Quilted Dinner2ply Yellow GT* - 1000/CTN\r\n,X,,,NIL,CTN,PKT100 X 10,,Zhiyuan,*WWQDY40100GT,FRE,CTN,1,0,0,53.07,CTN,GST,,0,1,0,0,0,0,0,53.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WWQDG40100GT,Quilted Dinner 2ply Green GT,B,S,I,11505,41021,51021,PPS Quilted Dinner 2ply Green GT Fold  40 x 40cm,X,,,NIL,CTN,100/SLV x 10,,Zhiyuan,WWQDG40100GT,FRE,CTN,1,0,0,90.26,CTN,GST,,0,1,0,0,0,0,0,90.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,69.43,,
WWAD4050,Airlaid 1ply Wht  1/4 Napkin,B,S,I,11505,41021,51021,Airlaid 1ply White  QTR Fold Napkin,X,Napkin,Dinner Napkin,NIL,CTN,50/SLV x 5,,Zhiyuan,WWAD4050,FRE,CTN,1,0,0,0,CTN,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,,
WWAD4050GT,Airlaid 1ply Wht GT Napkin,B,S,I,11505,41021,51021,PPS Airlaid 1ply White GT Napkin,X,Napkin,Dinner Napkin,NIL,CTN,50/SLV x 5,,Zhiyuan,WWAD4050GT,FRE,CTN,1,0,0,53.33,CTN,GST,,0,1,0,0,0,0,0,53.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,41.02,,
WRAP,GLAD WRAP CATER 4 Rolls,B,S,I,11591,41071,51081,C9,,,,NIL,,,,,,GST,,1,0,0,91.16,,GST,,0,1,0,0,0,0,0,91.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
SC295T1,Sauce Container 29.5ml T1,B,S,I,11404,41013,51013,,,,,NIL,,,,,,FRE,,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
SCT1 Lid,Lid MS100 T1,B,S,I,11404,41013,51013,,,,,NIL,,,,,,FRE,,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
SC50T2,Sauce Container 50ml T2,B,S,I,11404,41013,51013,,,,,NIL,,,,,,FRE,,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
SCT2 Lid,Lid MS200 T2,B,S,I,11404,41013,51013,,,,,NIL,,,,,,FRE,,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
FT0078,FP.SMALL CAKE TRAY,B,S,I,11591,41071,51081,Small cake tray,X,Paper Containers and boxes,Food Trays & Clams,Containers,CTN,200/CTN,,FPA,CTSML,GST,CTN,1,0,0,26.62,CTN,GST,,0,1,0,0,0,0,0,26.62,51.48,51.48,51.48,51.48,51.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,19.69,,
CW0054,TP-CW33 CATERER WRAP 33CM,B,S,I,11591,41071,51081,PREMIUM CATERERS WRAP 33cmX600M,X,Kitchen,Cling Wrap,NIL,ROLL,6 Rolls/CTN,,Tailored Packaging (WA) Pty Ltd,CW33,GST,CTN,6,0,0,15.52,ROLL,GST,,0,1,0,0,0,0,0,15.515,65.35,65.35,65.35,65.35,65.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,71.61,,
HR0048,TA.Premium 80M roll towel,B,S,I,11591,41071,51081,TA.Premium 80M roll towel,X,Janitorial and Washroom,Paper Towels ,NIL,CTN,16 Rolls / CTN,,Tailored Packaging (WA) Pty Ltd,PWRT80B-V,GST,CTN,1,0,0,38.67,CTN,GST,,0,1,0,0,0,0,0,38.67,15.47,15.47,15.47,15.47,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,28.6,,
BC0052,TA.PAPER BOARD BURGER BOX,B,S,I,11591,41071,51081,PAPER BOARD BURGER BOX,X,Paper Containers and boxes,"Food Trays,Boxes,Clams ECO",Containers,CTN,250/CTN,,Tailored Packaging (WA) Pty Ltd,ABBB,GST,CTN,1,0,0,44.47,CTN,GST,,0,1,0,0,0,0,0,44.47,37.18,37.18,37.18,37.18,37.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,34.21,,
CUT0162,TA.PLASTIC KNIVES - WHITE,B,S,I,11591,41071,51081,PLASTIC KNIVES WHITE \r\n,X,Tabletops,Cutlery,NIL,SLV,100/SLV x 40,,Tailored Packaging (WA) Pty Ltd,KNF-4,GST,CTN,40,0,0,1.49,SLV,GST,,0,1,0,0,0,0,0,1.49,6.621,6.621,6.621,6.621,6.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,44,,
CUT0163,TA.PLASTIC FORKS - WHITE,B,S,I,11591,41071,51081,PLASTIC FORKS  WHITE,X,Tabletops,Cutlery,NIL,SLV,100/SLV X 40,,Tailored Packaging (WA) Pty Ltd,FRK-4,GST,CTN,40,0,0,1.39,SLV,GST,,0,1,0,0,0,0,0,1.391,1.43,1.43,1.43,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,42.8,,
WCCPCBBS,Paper Carry Bags Brown Small,B,S,I,11591,41071,51081,,,,,NIL,,,,Taldara Industries,,GST,,1,0,0,48,,GST,,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCCPCBBM,Paper Carry Bag Brown Medium,B,S,I,11591,41071,51081,,,,,NIL,,,,Taldara Industries,,GST,,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
W650B-O,W650 compartment,B,S,I,11410,41012,51012,A19,,,,NIL,,,,,,FRE,,1,0,150,47.78,,GST,,0,1,0,0,0,0,0,47.78,59,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,32.91,,
W750B-O,W750 Compartment,B,S,I,11410,41012,51012,A20,,,,NIL,,,,,,FRE,,1,0,150,53.27,,GST,,0,1,0,0,0,0,0,53.27,67,67,673,673,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,36.85,,
W1000B-O,W1000 Compartment,B,S,I,11410,41012,51012,A18,,,,NIL,,,,,,FRE,,1,0,150,59.01,,GST,,0,1,0,0,0,0,0,59.01,67,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,31.69,,
W1000B37-O,W1000 3/7 Compartment,B,S,I,11410,41012,51012,B20,,,,NIL,,,,,,FRE,,1,0,150,57.47,,GST,,0,1,0,0,0,0,0,57.47,67,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,30.86,,
T1050-O,Crystal Bowl,B,S,I,11416,41014,51014,A21,,,,NIL,,,,,,FRE,,1,0,0,56.29,,GST,,0,1,0,0,0,0,0,56.29,79,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,38.01,,
T Lid-O,Bowl Lid,B,S,I,11416,41014,51014,G6,,,,NIL,,,,,,FRE,,1,0,0,27.92,,GST,,0,1,0,0,0,0,0,27.92,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,18.77,,
W500-O,W500 Container,B,S,I,11410,41012,51012,"A9, A10",,,,NIL,,,,,,FRE,,1,0,150,41.63,,GST,,0,1,0,0,0,0,0,41.63,41,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,21.25,,
W750-O,Plastic Container W750,B,S,I,11410,41012,51012,A16,,,,NIL,,,,,,FRE,,1,0,150,46.67,,GST,,0,1,0,0,0,0,0,46.67,50,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,31.52,,
WCCPB135140W,Paper Bag 135x140 White,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,10.5,,GST,,0,1,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCCPB200205W,Paper Bag 200x205 White,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,17,,GST,,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCCPBW25011550,White Paper Bag 250x115x50,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,13,,GST,,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCCHTUSLM,Hand Towel Ultra Slim,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,54.4,,GST,,0,1,0,0,0,0,0,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
